7zip 26.02-1
perl-sub-exporter-progressive 0.001013-13
perl-sub-install 0.929-4
perl-sub-quote 1:2.006009-2
perl-sys-syscall 0.25-14
perl-template-toolkit 3.106-1
perl-test-fatal 0.018-2
perl-timedate 2.35-1
perl-try-tiny 0.32-4
perl-uri 5.36-1
perl-variable-magic 0.65-1
perl-www-robotrules 6.03-1
perl-xml-libxml 2.0213-1
perl-xml-namespacesupport 1.12-6
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
perl-yaml 1.321-1
perl-yaml-libyaml 0.910.0-1
perl-yaml-tiny 1.76-3
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1
pkgconf 3.0.5-1
plocate 1.1.24-2
plymouth 26.134.222-2
polkit 127-3
poppler 26.08.0-1
poppler-data 0.4.12-2
poppler-glib 26.08.0-1
popt 1.19-2
portaudio 1:19.7.0-4
postgresql-libs 18.6-1
power-profiles-daemon 0.30-1
procps-ng 4.0.7-1
protobuf 35.1-2
psmisc 23.7-2
pugixml 1.16-1
python 3.14.7-1
python-autocommand 2.2.2-9
python-beautifulsoup4 4.15.0-1
python-brotli 1.2.0-1
python-cairo 1.29.1-1
python-cbor2 6.1.4-1
python-certifi 2026.07.22-1
python-cffi 2.1.1-1
python-charset-normalizer 3.4.7-1
python-colorama 0.4.6-6
python-curl-adapter 1.2.1-2
python-curl_cffi 0.16.0-2
python-dbus 1.4.0-2
python-distro 1.9.0-4
python-dnspython 1:2.8.0-3
python-docopt 0.6.2-15
python-evdev 2.0.0-1
python-eventlet 0.41.0-1
python-fastjsonschema 2.21.2-2
python-gevent 26.8.0-1
python-gobject 3.56.3-1
python-greenlet 3.5.1-1
python-idna 3.19-1
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-lark-parser 1.3.1-2
python-lxml 6.1.2_1-1
python-markdown-it-py 4.2.0-1
python-mdurl 0.1.2-9
python-moddb 0.15.0-1
python-more-itertools 11.1.0-1
python-packaging 26.3-1
python-pillow 12.3.0-1
python-platformdirs 4.11.3-1
python-poetry-core 2.4.1-1
python-protobuf 35.1-2
python-pycparser 3.00-1
python-pycups 2.0.4-4
python-pycurl 7.47.0-1
python-pygments 2.20.0-1
python-pyxdg 0.28-7
python-pyzstd 0.19.1-3
python-requests 2.34.2-1
python-rich 15.0.0-1
python-setuptools 1:84.0.0-1
python-shtab 1.11.0-1
python-six 1.17.0-3
python-soupsieve 2.9.2-1
python-termcolor 3.3.0-1
python-typing_extensions 4.16.0-1
python-urllib3 2.7.0-1
python-wheel 0.48.0-1
python-xlib 0.33-7
python-xxhash 4.0.1-1
python-yaml 6.0.3-2
python-zope-event 6.2-1
python-zope-interface 8.6-1
qemu-user-static 11.1.0-1
qemu-user-static-binfmt 11.1.0-1
qoi r350.4461cc3-1
qpdf 12.4.0-1
qrencode 4.1.1-4
qt5-base 5.15.19+kde+r96-1
qt5-multimedia 5.15.19+kde+r2-1
qt5-svg 5.15.19+kde+r5-1
qt5-translations 5.15.19-1
qt5-x11extras 5.15.19-1
qt6-base 6.11.2-2
qt6-declarative 6.11.2-1
qt6-imageformats 6.11.2-1
qt6-svg 6.11.2-1
qt6-translations 6.11.2-1
qt6-wayland 6.11.2-1
quickshell 0.3.1-1
rav1e 0.8.1-3
re2 2:2025.11.05-6
readline 8.3.003-1
rhash 1.4.6-1
ripgrep 15.2.0-1
rsync 3.5.0-1
rubberband 4.0.0-2
ruby 3.4.10-1
rubygems 3.6.9-1
runc 1.5.1-1
sbc 2.2-1
sdbus-cpp 2.3.1-1
sddm 0.21.0-7
sdl2-compat 2.32.70-1
sdl3 3.4.14-1
sdl3_ttf 3.2.2-3
seatd 0.9.3-1
sed 4.10-2
semver 7.8.5-1
